head	relation	tail
puppy	CapableOf	knock over glass of wine
customer	CapableOf	pay bill
person	CapableOf	duck under table
judge	CapableOf	allow bail
person	CapableOf	feel lonely
horse	CapableOf	run quickly
secretary	CapableOf	organize papers and folders
lawyer	CapableOf	settle dispute
actor	CapableOf	cake on make up
nurse	CapableOf	care for patient
cat	CapableOf	sleep all day
child	CapableOf	choose sweets
person	CapableOf	serve fellow man
dog	CapableOf	try to please master
cat	CapableOf	cast shadow
boxer	CapableOf	deal punch to opponent
fighter	CapableOf	box well
person	CapableOf	read book about science
burglar	CapableOf	take one's belongings
student	CapableOf	page through text book
child	CapableOf	add two numbers together
waitress	CapableOf	service tables
human	CapableOf	break vow
baby	CapableOf	fear loud noises
dog	CapableOf	company man
landlord	CapableOf	let room to tenant
person	CapableOf	make bold move
reporter	CapableOf	ask question
cook	CapableOf	stock kitchen
person	CapableOf	enter store
child	CapableOf	attempt to fool parents
person	CapableOf	enjoy to read
counter	CapableOf	count visitors
horse	CapableOf	go into stall
professor	CapableOf	chair discussion
rat	CapableOf	race through maze
salesman	CapableOf	deal cars
horse	CapableOf	carry person on back
person	CapableOf	stand under arch
person	CapableOf	analyze propaganda
clerk	CapableOf	price merchandise
person	CapableOf	breathe
judge	CapableOf	rule inadmissable
person	CapableOf	write letter to relative
judge	CapableOf	settle legal case
friend	CapableOf	dare friend
person	CapableOf	promise to do
cook	CapableOf	season meal with spices
cook	CapableOf	season stew
baby	CapableOf	swallow toy marble
manager	CapableOf	page worker
child	CapableOf	hand drawing to mother
bird	CapableOf	sing
infant	CapableOf	cry loudly
person	CapableOf	gather food
student	CapableOf	drop out of school
officer	CapableOf	voice command
student	CapableOf	thank teacher
pupil	CapableOf	bug teacher
reporter	CapableOf	write about news
person	CapableOf	look angry
cat	CapableOf	catch mouse
guide	CapableOf	lead tourist
driver	CapableOf	expect rush hour traffic to slow
human	CapableOf	have to sleep
doctor	CapableOf	examine cat scan
person	CapableOf	raise salute
chef	CapableOf	season roast
pet	CapableOf	run away
person	CapableOf	talk shit
kitten	CapableOf	fall asleep in arms
person	CapableOf	twirl plate on stick
person	CapableOf	face wall
person	CapableOf	enter house
person	CapableOf	believe falsehood
salesman	CapableOf	traveling to chicago
witness	CapableOf	name perpetrators
grasshopper	CapableOf	jump high
mom	CapableOf	mother child
singer	CapableOf	sing to listener
policeman	CapableOf	talk to criminal
pet	CapableOf	spring out of box
translator	CapableOf	speak at least two different languages
driver	CapableOf	change lanes
cat	CapableOf	walk on fence
boxer	CapableOf	throw match
person	CapableOf	make wine
waiter	CapableOf	service to people in restaraunt
teacher	CapableOf	answer student
smoker	CapableOf	roll sigarette
mechanic	CapableOf	perfect carburetor adjustment procedure
person	CapableOf	carry basket
person	CapableOf	show emotion
person	CapableOf	welcome change
bird	CapableOf	sing to other birds
person	CapableOf	choose to do good things
rabbi	CapableOf	offer solace
child	CapableOf	touch cat
human	CapableOf	learn whether milk causes prostate cancer
teacher	CapableOf	subject students to boring lecture
person	CapableOf	stick to principles
priest	CapableOf	say mass
person	CapableOf	hill climb
lawyer	CapableOf	prove to judge
clerk	CapableOf	enter numbers
roommate	CapableOf	cook dinner
person	CapableOf	tie dog to post
broker	CapableOf	trade for client
kid	CapableOf	throw toy
priest	CapableOf	require penitent to repent
person	CapableOf	train to become athlete
person	CapableOf	butter morning toast
teacher	CapableOf	reply to student's question
person	CapableOf	practice tai chi
lawyer	CapableOf	object statement
fiance	CapableOf	desire wedding ring
secretary	CapableOf	sort through file
electrician	CapableOf	fix wiring
child	CapableOf	delight audience
turtle	CapableOf	live long time
student	CapableOf	ask to excused
person	CapableOf	have difficulty understanding psychotic episode
doctor	CapableOf	set broken bone
leader	CapableOf	guide team
chef	CapableOf	cook for people
boxer	CapableOf	fight boxer
person	CapableOf	mail parcels to another person
liar	CapableOf	fool
frog	CapableOf	catch flies with tongue
surgeon	CapableOf	have to operate on patient
student	CapableOf	master phonics
doctor	CapableOf	help people feel better
politician	CapableOf	influence public decisions
person	CapableOf	visit relatives
person	CapableOf	feel happy
person	CapableOf	trip over obstacle
professor	CapableOf	study subject
child	CapableOf	enjoy games
child	CapableOf	become witch at halloween
salesman	CapableOf	offer good deal
bird	CapableOf	spread wings
person	CapableOf	call operator
worker	CapableOf	labor for many days
person	CapableOf	dare another to do
hero	CapableOf	face nemisis
manager	CapableOf	consider proposal
student	CapableOf	begin new school year
cook	CapableOf	prepare meal
person	CapableOf	pay bill
thief	CapableOf	trigger alarm
agent	CapableOf	book nightclub act
person	CapableOf	talk on phone
judge	CapableOf	fine convict
person	CapableOf	lie down
person	CapableOf	spring to feet
human	CapableOf	dream dreams
person	CapableOf	marry another person
person	CapableOf	twirl rope with one hand
person	CapableOf	sort list of names alphabetically
person	CapableOf	face destiny
manager	CapableOf	closing store
doctor	CapableOf	free patient of disease
student	CapableOf	complete homework
child	CapableOf	act innocent
dog	CapableOf	circle tree
person	CapableOf	needle another person
person	CapableOf	laugh about good joke
child	CapableOf	play recorder
elephant	CapableOf	carry trunk
victim	CapableOf	report crime
kid	CapableOf	ring doorbell
ruler	CapableOf	govern state
cat	CapableOf	catch rat
parent	CapableOf	consider whether to give permission
child	CapableOf	storm out of anger
robber	CapableOf	force door open
actor	CapableOf	sing songs
person	CapableOf	sort tools
human	CapableOf	think and reason
person	CapableOf	grow in knowledge
bird	CapableOf	eat grasshopper
person	CapableOf	analyze another person's motives
child	CapableOf	tear paper
librarian	CapableOf	quiet noisy person
person	CapableOf	receive letters
dog	CapableOf	smell food
grass	CapableOf	grow on hill
baby	CapableOf	need to burp
actor	CapableOf	picture scene
bird	CapableOf	travel across world
person	CapableOf	captain ship
real estate agent	CapableOf	cover up
student	CapableOf	receive degree
person	CapableOf	give money to charity
person	CapableOf	say word
secretary	CapableOf	take message
friend	CapableOf	drop by for visit
company	CapableOf	sleep on fold away bed
seller	CapableOf	feel neglected
adult	CapableOf	learn to mend ways
person	CapableOf	gain respect
teacher	CapableOf	place pins on map
friend	CapableOf	needle another friend
friend	CapableOf	offer to help
bear	CapableOf	eat salmon
cook	CapableOf	bread fish
person	CapableOf	call friend
teacher	CapableOf	help student
policeman	CapableOf	notice jaywalker
person	CapableOf	drink milk
person	CapableOf	go into room
police officer	CapableOf	retire
policeman	CapableOf	hand over warrant
sheep	CapableOf	graze
baby	CapableOf	cry loudly
instructor	CapableOf	show how works
person	CapableOf	run for short distances
postman	CapableOf	bring mail
guest	CapableOf	stay in hotel
person	CapableOf	enjoy cool drink
person	CapableOf	judge taste of
cook	CapableOf	bone roast
real estate agent	CapableOf	family conscious
author	CapableOf	begin to write book
person	CapableOf	write letter to public
driver	CapableOf	sound horn
teacher	CapableOf	quiet classroom
prisoner	CapableOf	scape from prison
parent	CapableOf	talk to child
pilot	CapableOf	land aeroplane
real estate agent	CapableOf	misrepresent
cat	CapableOf	touch leg
person	CapableOf	slip and fall on
diner	CapableOf	salt food
adult	CapableOf	drink beer
person	CapableOf	love another person
leader	CapableOf	direct people
child	CapableOf	remember or phone number
student	CapableOf	study calculus
person	CapableOf	wish for miracle
cat	CapableOf	miaow
doctor	CapableOf	prescribe drug
person	CapableOf	lend money
person	CapableOf	play saxophone
police officer	CapableOf	carries gun
person	CapableOf	experience situations
pilot	CapableOf	fly
person	CapableOf	walk away
child	CapableOf	wish to fly
driver	CapableOf	starting car
child	CapableOf	build with wooden blocks
person	CapableOf	lend ear
nurse	CapableOf	care for sick
friend	CapableOf	call friend on phone
person	CapableOf	wash dog
officer	CapableOf	captain ship
cat	CapableOf	eat bird
adult	CapableOf	gift knowledge to child
cat	CapableOf	see in dark
author	CapableOf	father novel
person	CapableOf	use break
tailor	CapableOf	iron suit
friend	CapableOf	mail present to
guard	CapableOf	guard treasure
person	CapableOf	die of kidney failure
artist	CapableOf	specialize in printing etchings
student	CapableOf	guess correct answer
robber	CapableOf	case target
person	CapableOf	order steak
person	CapableOf	pay bills
parent	CapableOf	quiet screaming baby
child	CapableOf	long for home
person	CapableOf	put toys away
lawyer	CapableOf	produce evidence
person	CapableOf	miss train
policeman	CapableOf	say stop
person	CapableOf	feel jealous
cat	CapableOf	jump very well
student	CapableOf	try to get
chef	CapableOf	season pizza
robber	CapableOf	use gun to commit robbery
student	CapableOf	list presidents
person	CapableOf	feed cat
postman	CapableOf	mail letter to house
person	CapableOf	distance lover
cook	CapableOf	ready chicken
person	CapableOf	cook food
person	CapableOf	enjoy working
person	CapableOf	ride in hot air balloon
criminal	CapableOf	name accomplices
person	CapableOf	strike another person
friend	CapableOf	call
runner	CapableOf	place third
horse	CapableOf	outrun human
judge	CapableOf	settle suit
person	CapableOf	play saxaphone
neighbor	CapableOf	borrow hedgeclippers
child	CapableOf	drive crazy
student	CapableOf	voice opinion
student	CapableOf	journey to college
person	CapableOf	learn how to play piano
child	CapableOf	bug teacher
photographer	CapableOf	show portfolio to prospective clients
parent	CapableOf	control kid
child	CapableOf	wonder why stars twinkle
human	CapableOf	receive package
dog	CapableOf	pull sleigh
grandmother	CapableOf	trip on curb
singer	CapableOf	record record
child	CapableOf	wear dress
chef	CapableOf	age steak
person	CapableOf	number objects
landlord	CapableOf	let apartment to tenant
soldier	CapableOf	report to commanding officer
person	CapableOf	choose to peaceful
cat	CapableOf	run away
person	CapableOf	face with courage
person	CapableOf	borrow book from library
real estate agent	CapableOf	advertise
artist	CapableOf	perfect masterpiece
author	CapableOf	word passage in novel
criminal	CapableOf	fear retribution
pilot	CapableOf	land airplane
child	CapableOf	blow up balloon
adult	CapableOf	explain rules to child
pilot	CapableOf	travel lot
child	CapableOf	thank parents
baby	CapableOf	cry for long time
child	CapableOf	need love from mother
waiter	CapableOf	service dish
student	CapableOf	further persue studies
baker	CapableOf	butter roll
person	CapableOf	become depressed
politician	CapableOf	talk all day
student	CapableOf	make pot of coffee
friend	CapableOf	speak klingon
banker	CapableOf	lend money
student	CapableOf	complete course of study
person	CapableOf	work at desk
child	CapableOf	laugh at clown
person	CapableOf	seal with glue
company	CapableOf	increase or decrease in size
person	CapableOf	suspect another person of fraud
person	CapableOf	drink tea
child	CapableOf	dream about future
student	CapableOf	play piano
mom	CapableOf	direct play
dog	CapableOf	guard premises
person	CapableOf	box up gift
person	CapableOf	make sense
leader	CapableOf	rule place
vendor	CapableOf	present new product
person	CapableOf	spot error
fish	CapableOf	live very deep in sea
salesman	CapableOf	trade car
thief	CapableOf	rob store
teacher	CapableOf	mark homework
liar	CapableOf	speak falsehoods
bear	CapableOf	climb tree
locksmith	CapableOf	pick lock
lady	CapableOf	age gracefully
friend	CapableOf	meet at coffee shop
child	CapableOf	cut paper doilies
grandmother	CapableOf	mail letter
scientist	CapableOf	experiment
dog	CapableOf	guide blind person
spider	CapableOf	spin web
human	CapableOf	hear sound
secretary	CapableOf	note time called in
person	CapableOf	own up to misdeed
cat	CapableOf	climb up tree
person	CapableOf	trip over untied shoelace
person	CapableOf	eat spaghetti
tailor	CapableOf	press pants
baker	CapableOf	make cake
child	CapableOf	question teacher
teacher	CapableOf	answer student's question
person	CapableOf	fall asleep
person	CapableOf	battle cancer
bird	CapableOf	head south
person	CapableOf	have poor personal hygeine
person	CapableOf	hear music on radio
person	CapableOf	climb stairs
soldier	CapableOf	fight in battle
child	CapableOf	fancy santa clause exists
bird	CapableOf	injur it's wing if falls
dog	CapableOf	jump over log
cook	CapableOf	add ingrediants
photographer	CapableOf	position camera
secretary	CapableOf	note boss needs
person	CapableOf	trip on rope
person	CapableOf	suspect another person of witchcraft
teacher	CapableOf	require homework from students
neighbor	CapableOf	mind own business
dog	CapableOf	lie down
student	CapableOf	holding answer
chef	CapableOf	salt food
attendant	CapableOf	sort ticket stubs
child	CapableOf	tie knot
person	CapableOf	long for companionship
chef	CapableOf	season dish
person	CapableOf	butter toast
kangaroo	CapableOf	carry baby in pouch
cat	CapableOf	hide under bed
person	CapableOf	laugh out loud
sheep	CapableOf	group together
student	CapableOf	order pizza
student	CapableOf	cut construction paper
chef	CapableOf	season chicken perfectly
horse	CapableOf	jump barrier
horse	CapableOf	win race
person	CapableOf	trade one object for another
chef	CapableOf	bread piece of fish
person	CapableOf	learn other languages
person	CapableOf	reaching for apple
student	CapableOf	cut class
guest	CapableOf	trip on toys on carpet
enemy	CapableOf	die horribly
teacher	CapableOf	drop pencil
judge	CapableOf	separate fact from fiction
turtle	CapableOf	race hare
student	CapableOf	forget to do homework
person	CapableOf	say goodbye
dog	CapableOf	belong human
letter	CapableOf	written communication between people
person	CapableOf	fish for trout
person	CapableOf	reply to question
robber	CapableOf	case job
author	CapableOf	continue story
child	CapableOf	breathe
child	CapableOf	fill bucket with sand
artist	CapableOf	letter sign
fish	CapableOf	smell bas
person	CapableOf	lend hand
kid	CapableOf	press stickers to page
human	CapableOf	wind toy
person	CapableOf	mail document to friend
person	CapableOf	fancy stroll
person	CapableOf	arrange food on plate
manager	CapableOf	welcome employee
student	CapableOf	study math
person	CapableOf	eat sausages
lion	CapableOf	roar
artist	CapableOf	color picture
cleaner	CapableOf	clean office
bunny	CapableOf	keep going
teacher	CapableOf	explain test question
friend	CapableOf	guard secret
soldier	CapableOf	write letter home
postman	CapableOf	return undelivered letter
tailor	CapableOf	fit man with suit
dog	CapableOf	fight cat
mum	CapableOf	walk child
concierge	CapableOf	welcome guest
child	CapableOf	smell cookies
tiger	CapableOf	hunt for food
chef	CapableOf	cook excellent meal
mechanic	CapableOf	change wheel of car
cat	CapableOf	eat cat food
child	CapableOf	receive gift
dog	CapableOf	turn over
accountant	CapableOf	note error
librarian	CapableOf	demand noise stop
child	CapableOf	belong to family
person	CapableOf	trust prophet
artist	CapableOf	master watercolor
mechanic	CapableOf	use parts to repair car
person	CapableOf	wave to another person
actor	CapableOf	present award
student	CapableOf	picture future career
person	CapableOf	return book to library
person	CapableOf	propel herself through water
kid	CapableOf	fly kite
employee	CapableOf	thank customer for purchase
teacher	CapableOf	dare to learn
turtle	CapableOf	hide in shell
person	CapableOf	attempt to climb mountain
clerk	CapableOf	box gift
horse	CapableOf	step high
pilot	CapableOf	control airplane's flight
judge	CapableOf	fight intolerance
thief	CapableOf	surprise homeowner
soldier	CapableOf	wave to family
person	CapableOf	lose wallet
person	CapableOf	hear thunder
artist	CapableOf	shade drawing
mom	CapableOf	piece together quilt
pilot	CapableOf	work in airplane
instructor	CapableOf	train student
pitcher	CapableOf	throw curve
clerk	CapableOf	price products
student	CapableOf	add numbers
person	CapableOf	point gun at
person	CapableOf	learn history lesson
chef	CapableOf	prepare spaghetti
child	CapableOf	take cookies from jar
person	CapableOf	right soda can spilled
worker	CapableOf	count money
prisoner	CapableOf	attempt to escape
worm	CapableOf	crawl down street
judge	CapableOf	consider facts
dealer	CapableOf	supply with drugs
instructor	CapableOf	train pilot to fly
chef	CapableOf	cook good food
person	CapableOf	voice disgust
librarian	CapableOf	plan to alphabetize books
dog	CapableOf	taste dog food
person	CapableOf	give money
student	CapableOf	study
dog	CapableOf	bury bone in ground
person	CapableOf	question god exists
child	CapableOf	pick nose
dog	CapableOf	wag tail
fan	CapableOf	refer to enthusiastic about
salesman	CapableOf	close sale
person	CapableOf	age gracefully
chef	CapableOf	study french cooking
student	CapableOf	think lot
person	CapableOf	wonder whether will rain
child	CapableOf	follow leader
person	CapableOf	add two numbers
guest	CapableOf	bring wine
person	CapableOf	stock fridge
adult	CapableOf	use lawn mower
student	CapableOf	belong to class
person	CapableOf	wring torment on another person
person	CapableOf	pick scab
person	CapableOf	touch person
person	CapableOf	face truth
cook	CapableOf	bake bread
salesperson	CapableOf	double price
child	CapableOf	bicycle to town
worker	CapableOf	return with paycheck
judge	CapableOf	let criminal go free
person	CapableOf	decide on place to live
person	CapableOf	check water level
bartender	CapableOf	fill glass with drink
student	CapableOf	miss bus
child	CapableOf	fear dark
person	CapableOf	drink from mug
speaker	CapableOf	speak eloquently
person	CapableOf	shout at
person	CapableOf	board boat
teacher	CapableOf	name pupils
chef	CapableOf	cook very well
student	CapableOf	study for test
thief	CapableOf	take wallet
person	CapableOf	pushing cart
pilot	CapableOf	captain plane
clerk	CapableOf	stock merchandise
photographer	CapableOf	position subject for photograph
animal	CapableOf	hunt for food
person	CapableOf	milk another person
friend	CapableOf	shoulder burden for
hamster	CapableOf	spin on wheel
baker	CapableOf	coat cake with icing
police officer	CapableOf	stop traffic
child	CapableOf	need mother
baby	CapableOf	bring joy
lady	CapableOf	look pretty
soldier	CapableOf	wear uniform
owl	CapableOf	see at night
dog	CapableOf	smell fear
dog	CapableOf	piss on couch
cashier	CapableOf	price item
bear	CapableOf	winter in cave
person	CapableOf	watch whether rains or not
pilot	CapableOf	flying helicopter
person	CapableOf	acting angrily
manager	CapableOf	plan to expand company
scientist	CapableOf	discover germ
friend	CapableOf	lend car to another friend
child	CapableOf	clear table
person	CapableOf	step out
adult	CapableOf	work
baby	CapableOf	pull hair
person	CapableOf	mind problems
judge	CapableOf	consider arguments
person	CapableOf	stand alone
mind	CapableOf	form thought
teacher	CapableOf	desire students study
baker	CapableOf	box up dozen
person	CapableOf	hate another person
tailor	CapableOf	let out seams in suit
scientist	CapableOf	time experiment
student	CapableOf	pass finals
person	CapableOf	fear to fall
person	CapableOf	follow through on task
politician	CapableOf	distance himself from losing idea
adult	CapableOf	wait to go to bathroom
person	CapableOf	play panpipes
person	CapableOf	group similar objects together
mechanic	CapableOf	oil machine with grease
pitcher	CapableOf	jog to pitching mound
child	CapableOf	bug mother
politician	CapableOf	govern population
worker	CapableOf	welcome weekend
person	CapableOf	reason with another person
person	CapableOf	milk cow
politician	CapableOf	lie
person	CapableOf	own object
chef	CapableOf	bone fish
parent	CapableOf	advance chil money
judge	CapableOf	judge races
person	CapableOf	guide another person
politician	CapableOf	speaking to crowd
criminal	CapableOf	make people feel unsafe
person	CapableOf	experience pain
hope	CapableOf	light way to happiness
frog	CapableOf	jump in pond
chef	CapableOf	govern kitchen
runner	CapableOf	hurry for bus
lion	CapableOf	father cubs
lady	CapableOf	kiss pig
horse	CapableOf	pull wagon
dog	CapableOf	remember basic commands
person	CapableOf	lose game
prisoner	CapableOf	attempt escape
person	CapableOf	look through window
secretary	CapableOf	write memo
person	CapableOf	succeed in career
tailor	CapableOf	make dress
child	CapableOf	ask many questions
dog	CapableOf	hear whistling
student	CapableOf	report on book read
landlord	CapableOf	raise rent
child	CapableOf	wonder why sky blue
person	CapableOf	taste
cook	CapableOf	brown ground beef
mechanic	CapableOf	turn wrench
employee	CapableOf	have to work
cook	CapableOf	cook meal
child	CapableOf	fear imaginary monsters
person	CapableOf	facing another person
person	CapableOf	train emotions
salesman	CapableOf	show cars on lot
politician	CapableOf	running campaign
person	CapableOf	learn lesson
person	CapableOf	fast for days without lasting damage
star	CapableOf	explode
soldier	CapableOf	report for duty
police officer	CapableOf	book criminal
student	CapableOf	cross road
spouse	CapableOf	buy present
politician	CapableOf	lie to electorate
dog	CapableOf	run
person	CapableOf	feel sorry for another person
teacher	CapableOf	help to teach student
politician	CapableOf	field certain questons
person	CapableOf	stand upright
buyer	CapableOf	inspect property
person	CapableOf	hurry home
criminal	CapableOf	pick lock
driver	CapableOf	control car
dog	CapableOf	urinate
person	CapableOf	spring into action
lawyer	CapableOf	object to line of questioning
person	CapableOf	forward email to else
king	CapableOf	honor knight
person	CapableOf	serve food in bowl
teacher	CapableOf	quiet students
student	CapableOf	failing exam
person	CapableOf	subject others to pain
cat	CapableOf	catch bird
person	CapableOf	control makes progress
person	CapableOf	rest on bed
contractor	CapableOf	rush job
student	CapableOf	attempt to do homework
person	CapableOf	jump over puddle
boxer	CapableOf	fight another boxer
model	CapableOf	walk runway
doctor	CapableOf	heal sick person
person	CapableOf	kayak
smoker	CapableOf	strike match
actor	CapableOf	picture scenery
pilot	CapableOf	bank plane
boxer	CapableOf	strike opponent
teacher	CapableOf	pass student
person	CapableOf	ask question
person	CapableOf	feel ashamed of another person
principal	CapableOf	subject to unexpected punishments
teacher	CapableOf	tell story
child	CapableOf	experience world
person	CapableOf	ready himself
cook	CapableOf	measure water
person	CapableOf	date another person
scientist	CapableOf	class finding
student	CapableOf	fail test
teacher	CapableOf	group readers
person	CapableOf	climb mountain
teacher	CapableOf	enlighten
person	CapableOf	labor for hire
person	CapableOf	desire become friends
fish	CapableOf	live in ponds
lawyer	CapableOf	prove client innocent
strong person	CapableOf	weather worst of times
puppy	CapableOf	sleep for most of day
racoon	CapableOf	die under house
student	CapableOf	ask question
person	CapableOf	graduate from high school
student	CapableOf	listen teacher
person	CapableOf	honor guest with attention
person	CapableOf	live with another person
person	CapableOf	thank for gift
child	CapableOf	place puzzle piece
parent	CapableOf	teach violence wrong
person	CapableOf	stick paper together with glue
person	CapableOf	let dogs out
child	CapableOf	dress herself
chef	CapableOf	prepare meal
cook	CapableOf	season soup
human	CapableOf	go on date
cat	CapableOf	wait for rat
human	CapableOf	remember experience
robber	CapableOf	shake police
person	CapableOf	place on shelf
person	CapableOf	duck under flying object
dog	CapableOf	follow master
burglar	CapableOf	force window
chef	CapableOf	salt carrot
bird	CapableOf	call with chirps
student	CapableOf	wait for bus
bull	CapableOf	charge
child	CapableOf	wonder about world
person	CapableOf	touch object
pilot	CapableOf	captain sailing ship
parent	CapableOf	teach child to talk
photographer	CapableOf	position model
officer	CapableOf	direct trafic
teacher	CapableOf	include examples
person	CapableOf	do check out project
chef	CapableOf	bread catfish
person	CapableOf	share good fortune with others
person	CapableOf	write letter to politician
judge	CapableOf	clear defendant of all charges
turtle	CapableOf	live in water or on land
student	CapableOf	push to succeed
real estate agent	CapableOf	offer guarantee
person	CapableOf	buy wig
mosquito	CapableOf	fly in dark
person	CapableOf	experience pleasure
guy	CapableOf	date girl
mechanic	CapableOf	oil squeaky joints
person	CapableOf	read bible
person	CapableOf	try to solve puzzle
person	CapableOf	close door on opportunity
person	CapableOf	drop ball
locksmith	CapableOf	pick locks
boxer	CapableOf	box another boxer
scientist	CapableOf	doubt religion
friend	CapableOf	honor promise
person	CapableOf	lay down
repairman	CapableOf	fix tv
artist	CapableOf	shade picture
photographer	CapableOf	take horse's picture
minister	CapableOf	lead congregation
actor	CapableOf	play part
child	CapableOf	fall down
pilot	CapableOf	land helicopter
child	CapableOf	take shower
person	CapableOf	battle among inward selves
child	CapableOf	enjoy cartoon
speaker	CapableOf	field questions afterward
guest	CapableOf	thank host
child	CapableOf	wet bed
person	CapableOf	shout
deer	CapableOf	long for water
person	CapableOf	wash themselves
fighter	CapableOf	strike opponent
student	CapableOf	advance grade
person	CapableOf	push wheelbarrow
person	CapableOf	reply to letter
bird	CapableOf	learn to fly
person	CapableOf	leave room
person	CapableOf	fly helicoptor
cat	CapableOf	cleaning itself
person	CapableOf	see show in theater
waiter	CapableOf	clear table
person	CapableOf	act kindly
person	CapableOf	press stapler down
teacher	CapableOf	start lecture
person	CapableOf	heat food
reporter	CapableOf	press for answer
human	CapableOf	taste food
parent	CapableOf	offer solace
pilot	CapableOf	fly airplane
sleeper	CapableOf	snore
person	CapableOf	die at home
person	CapableOf	enjoy learning
dog	CapableOf	find food to eat
person	CapableOf	analyze piece of literature
student	CapableOf	succeed at learning math
adult	CapableOf	sleep for average of hours
principal	CapableOf	supervise teachers
politician	CapableOf	complete speech
friend	CapableOf	captain boat
animal	CapableOf	hear own voice
person	CapableOf	turn off computer
cook	CapableOf	bread fiash
child	CapableOf	play video games
client	CapableOf	sign check
child	CapableOf	listen to mother
teacher	CapableOf	train children to read
person	CapableOf	try again
smoker	CapableOf	light lighter
child	CapableOf	sound out word
cook	CapableOf	store food in refridgerator
animal	CapableOf	sense fear in human
person	CapableOf	free animal
baker	CapableOf	quarter cake
king	CapableOf	rule land
cashier	CapableOf	count till
person	CapableOf	oil sqeaky hinge
rancher	CapableOf	also fence out deer
witness	CapableOf	report crime
teacher	CapableOf	show how to write
person	CapableOf	look around
lion	CapableOf	lie in jungle
person	CapableOf	live happily
leader	CapableOf	ruling country
judge	CapableOf	decide criminal's fate
dog	CapableOf	mother puppy
cat	CapableOf	sit in window
landlord	CapableOf	fill vacancy
person	CapableOf	receive scholarship
friend	CapableOf	spot weightlifter
patient	CapableOf	visit hospital
human	CapableOf	understand new ideas
person	CapableOf	wind up snowglobe
person	CapableOf	distance themself
officer	CapableOf	guide troops
person	CapableOf	buy items at store
dog	CapableOf	sense fear
person	CapableOf	need to know reasons why
waitress	CapableOf	butter toast
tour guide	CapableOf	tell about useful equipment
owl	CapableOf	rest during day
soldier	CapableOf	march in parade
dog	CapableOf	walk on leash
artist	CapableOf	draw
mosquito	CapableOf	bug people
parent	CapableOf	govern household
person	CapableOf	step on other people
person	CapableOf	forget date
child	CapableOf	board schoolbus
bear	CapableOf	winter over in den
policeman	CapableOf	hit litterbug
person	CapableOf	answer telephone
child	CapableOf	fail to meet parents expectations
student	CapableOf	master lesson
child	CapableOf	act guilty
cook	CapableOf	season broth
doctor	CapableOf	listen to patient
actor	CapableOf	star in film
friend	CapableOf	lending car to
leader	CapableOf	guide followers
student	CapableOf	taking notes
solicitor	CapableOf	ask for money in advance
doctor	CapableOf	visit patients on wednesday
policeman	CapableOf	control attack dog
kangaroo	CapableOf	jump fences
waiter	CapableOf	serve customers in restaurant
person	CapableOf	travel to europe
student	CapableOf	report to office
horse	CapableOf	pull buggy
author	CapableOf	perfect manuscript
parent	CapableOf	train child
person	CapableOf	join cult
teacher	CapableOf	supply education to student
bear	CapableOf	fish for salmon
dog	CapableOf	live in dog house
cop	CapableOf	fine for illegal parking
doctor	CapableOf	examine mri
shopper	CapableOf	push shopping cart
person	CapableOf	like loud music
soldier	CapableOf	shoulder gun
baby	CapableOf	speaking in gibberish
cat	CapableOf	see at night
mechanic	CapableOf	hand wrench to assistant
cat	CapableOf	appear to angry
travel agent	CapableOf	book reservation
broker	CapableOf	close deal
friend	CapableOf	call by nickname
salesman	CapableOf	work potential customer
friend	CapableOf	sit on chair
scientist	CapableOf	prove new planet exist
professor	CapableOf	time test
person	CapableOf	drink cafe au lait
student	CapableOf	begin project
dog	CapableOf	enjoy food
teacher	CapableOf	number pupil's essay
person	CapableOf	speak figuratively
student	CapableOf	homework
cat	CapableOf	look bird
person	CapableOf	sign agree
person	CapableOf	sort cards
person	CapableOf	cry sad tears
person	CapableOf	visit zoo
student	CapableOf	wish to graduate
fish	CapableOf	die out of water
smoker	CapableOf	decide to quit smoking
person	CapableOf	trip on banana peel
child	CapableOf	discover how to tie shoes
person	CapableOf	consider idea
person	CapableOf	hold fork and knife
runner	CapableOf	gain ground
person	CapableOf	guide computer
grandma	CapableOf	cook turnips
friend	CapableOf	wish good luck
police officer	CapableOf	charge person with crime
chef	CapableOf	quarter apple
person	CapableOf	serve food on platter
person	CapableOf	board train
cook	CapableOf	bread shrimp
person	CapableOf	write ransom note
neighbor	CapableOf	borrow spade
officer	CapableOf	book suspect
teacher	CapableOf	continue lesson
thief	CapableOf	case bank
doctor	CapableOf	wear latex gloves
teacher	CapableOf	demand to do homework
secretary	CapableOf	answer telephone
cook	CapableOf	chop vegetables
cashier	CapableOf	ring up sale
person	CapableOf	win money from lottory
person	CapableOf	bank money
priest	CapableOf	pray
person	CapableOf	give gifts
mechanic	CapableOf	machine parts
secretary	CapableOf	book appointment
person	CapableOf	clean messy room
policeman	CapableOf	tail suspect
boxer	CapableOf	pull punches
mom	CapableOf	bread chicken
person	CapableOf	speak literally
teacher	CapableOf	teach to read
person	CapableOf	pet cat
student	CapableOf	spend time on and assignment
friend	CapableOf	wave to friend
cat	CapableOf	kill mouse
strong person	CapableOf	best weak person
pupil	CapableOf	question teacher
person	CapableOf	subscribe to religion
friend	CapableOf	spot athlete
doctor	CapableOf	earn lot of money
person	CapableOf	ring doorbell
person	CapableOf	consider possible consequences
friend	CapableOf	welcome friend
child	CapableOf	pain
